file                       , speaker, command            , duration          , mfcc_0_mean, mfcc_1_mean, mfcc_2_mean, mfcc_3_mean, mfcc_4_mean, mfcc_5_mean, mfcc_6_mean, mfcc_7_mean, mfcc_8_mean, mfcc_9_mean, mfcc_10_mean, mfcc_11_mean, mfcc_12_mean, mfcc_0_std, mfcc_1_std, mfcc_2_std, mfcc_3_std, mfcc_4_std, mfcc_5_std, mfcc_6_std, mfcc_7_std, mfcc_8_std, mfcc_9_std, mfcc_10_std, mfcc_11_std, mfcc_12_std, mfcc_delta_0_mean, mfcc_delta_1_mean, mfcc_delta_2_mean, mfcc_delta_3_mean, mfcc_delta_4_mean, mfcc_delta_5_mean, mfcc_delta_6_mean, mfcc_delta_7_mean, mfcc_delta_8_mean, mfcc_delta_9_mean, mfcc_delta_10_mean, mfcc_delta_11_mean, mfcc_delta_12_mean, mfcc_delta2_0_mean, mfcc_delta2_1_mean, mfcc_delta2_2_mean, mfcc_delta2_3_mean, mfcc_delta2_4_mean, mfcc_delta2_5_mean, mfcc_delta2_6_mean, mfcc_delta2_7_mean, mfcc_delta2_8_mean, mfcc_delta2_9_mean, mfcc_delta2_10_mean, mfcc_delta2_11_mean, mfcc_delta2_12_mean, rolloff_mean      , rolloff_std       , centroid_mean     , centroid_std      , bandwidth_mean    , bandwidth_std     , contrast_mean     , contrast_std      , flatness_mean, flatness_std, rms_mean   , rms_std    , zcr_mean           , zcr_std            , f0_mean           , f0_std            , f0_min           , f0_max            , lpc_0, lpc_1      , lpc_2      , lpc_3      , lpc_4      , lpc_5       , lpc_6     , lpc_7       , lpc_8      , lpc_9        , lpc_10    , lpc_11      , chroma_0_mean, chroma_1_mean, chroma_2_mean, chroma_3_mean, chroma_4_mean, chroma_5_mean, chroma_6_mean, chroma_7_mean, chroma_8_mean, chroma_9_mean, chroma_10_mean, chroma_11_mean, onset_mean, onset_std
confirm-transaction_gustav , gustav , confirm transaction, 2.430113378684807 , -277.07593 ,  128.03583 ,  8.40782   ,   22.669355, 1.1989416  , 11.508702  , 3.2439172  , 10.021592  , -8.960675  , 10.346716  , 0.31422752  , 6.1455164   , 1.3955468   ,   84.09711,  36.24154 ,  16.31833 ,  12.716254,  9.4829645,   9.423626,   5.951222,   7.274742,  9.6803875,  8.748834 ,   7.318432 ,   5.3896575,   5.8202534, 2.3693855        , 0.54049695       , -0.23400356      , 0.06862009       , -0.2222951       ,      0.029825013 , -0.04745004      ,       0.029271437, -0.04869075      , 0.09348409       , -0.006353625      , 0.13368553        , 0.0050896355      , -0.9151085        , -0.43753073       ,       0.06786644  , -0.015503256      , 0.016417192       , 0.024634099       , 0.0065275873      , -0.076429434      , 0.011245319       , 0.008176703       , 0.032761216        , 0.013623548        , -0.013049255       , 3276.533203125    , 1680.6658274754905, 1602.7859608021058,  829.1804707137456, 2082.6646327121834, 371.80627624209103, 21.03310898898859 , 14.242377496009741,   0.012938746,  0.02955021 , 0.04138585 , 0.036851827, 0.06201171875      , 0.05150921422860918,  78.15206258612866, 23.677657561388752, 50.0             , 213.39522305081698,   1.0, -1.1319871 , 0.6579393  , -0.91405755, 0.70774066 , -0.54703707 , 0.25703984, -0.28659278 , 0.4382123  , -0.2530328   , 0.26823688, -0.32469836 ,    0.49430397,    0.47563255,    0.47966453,    0.47244728,    0.5371598 ,    0.61013   ,    0.72121185,    0.58588266,    0.43193015,    0.43314248,     0.47986025,     0.4933595 ,  1.5702391, 1.5436635
approve-transaction_gustav , gustav , approve transaction, 2.7287981859410433, -269.0669  ,  119.1136  ,  0.65081847,   24.120605, 6.1141086  , 11.619657  , -3.9724433 , 6.528906   , -5.8937893 , 6.665907   , -2.3720267  , 6.604167    , -1.6986563  ,   75.13008,  36.959435,  14.132536,   9.295666,  9.781875 ,  10.124606,   8.218289,   6.646836,  5.522878 ,  4.884961 ,   7.2176394,   6.6426177,   5.774367 , 2.0333781        , 0.38510263       , -0.14594379      , 0.1458405        , 0.04507006       ,      0.16767095  , -0.051432006     ,       0.026071982, 0.016252631      , 0.09345638       , 0.050731316       , 0.07508984        , -0.044299662      , -0.9292406        , -0.4429948        ,       0.115678914 , -0.055295058      , 0.031421177       , -0.006582149      , -0.01979461       , -0.040793344      , 0.017486576       , -0.065138765      , -0.011988997       , -0.06331888        , -0.07013834        , 3722.0506571106994, 1640.531579001055 , 1843.2446065546387,  954.998991027629 , 2157.85544813487  , 372.19293933996636, 20.374039593109618, 14.041992400036134,   0.019674443,  0.037365057, 0.03640195 , 0.040105324, 0.0846919690148305 , 0.07864158910118246,  72.40611294468715, 18.826400175731724, 50.0             , 181.12930499382816,   1.0, -0.6864411 , 0.29012525 , -0.9998862 , 0.41534218 , -0.47995648 , 0.7005952 , -0.26168808 , 0.3612471  , -0.46674925  , 0.13769093, -0.17378515 ,    0.60988367,    0.6131712 ,    0.5993653 ,    0.6267524 ,    0.70277876,    0.6970332 ,    0.67572004,    0.55150354,    0.54296017,    0.5754321 ,     0.5752423 ,     0.60460526,  1.4060032, 1.4770643
confirm-transaction_michael, michael, confirm transaction, 3.8613605442176873, -511.98044 ,   79.28669 , 28.499853  ,   23.2758  , -0.9172171 , -0.34356448, 3.634086   , -9.832972  , -5.5295777 , -3.901957  , -4.5965333  , -1.1914713  , -5.7346992  ,  153.08786,  52.82974 ,  25.08821 ,  22.802689, 20.334059 ,  10.777926,  11.651452,  12.395149, 10.73573  ,  9.26013  ,   9.7991495,   7.570941 ,  10.511886 , -0.50043577      , -0.15105914      , 0.17636153       , 0.31467536       , 0.2515233        ,      0.051251847 , -0.08118325      ,       0.056669142, 0.033632897      , -0.029136978     , -0.009728043      , -0.04301892       , -0.009453117      , -0.35406774       , -0.22519739       ,       0.0012066093, 0.02690191        , 0.01006634        , -0.018740626      , -0.0011230914     , 0.066046655       , 0.007259926       , -0.03188222       , 0.019773139        , -0.0022525045      , -0.030672608       , 5190.082189137351 , 2311.7081869853155, 2373.301559192622 , 1262.5088781817003, 2577.939123985435 , 638.9176592673962 , 20.437343575600156, 11.599984582503687,   0.027304597,  0.032248884, 0.013081652, 0.022673538, 0.11986866111526946, 0.11212054906684249, 111.1534270117171 , 67.37818656072928 , 50.34483251174339, 375.10093113906004,   1.0, -0.93537873, -0.2144043 , 0.26538807 , -0.15715796, -0.3961124  , 0.47460467, -0.1652833  , 0.22124074 , -0.025123559 , 0.15482123, -0.080529965,    0.58619523,    0.4908652 ,    0.4527385 ,    0.42974633,    0.3743619 ,    0.3325408 ,    0.37551108,    0.4045899 ,    0.4292107 ,    0.4272486 ,     0.41634327,     0.48406065,  1.4864935, 2.2974405
approve-transaction_michael, michael, approve transaction, 2.6453514739229025, -550.6321  ,   63.371155, 37.17514   ,   20.750902, 8.345271   , 7.288013   , 3.1828158  , -7.951025  , -6.728295  , -3.9658968 , -5.5936604  , -6.575584   , -3.6344047  ,  131.9583 ,  50.781967,  23.823208,  23.263443, 15.246331 ,  15.441704,  12.282795,  10.312151, 11.389981 ,  7.2869825,   7.413107 ,   7.594192 ,   6.3751426, -0.446258        , 0.010319739      , 0.28354833       , 0.13636623       , 0.016560774      ,      0.032963365 , 0.13355859       ,       0.00715792 , -0.08766106      , 0.01020479       , 0.09854386        , 0.065476485       , 0.0030562042      , -0.41617927       , -0.113771506      ,       0.12984784  , 0.0071378257      , 0.002383207       , -0.015614117      , 0.11920263        , 0.050942615       , -0.04237397       , 0.008361222       , 0.057348453        , 0.08446883         , 0.017918615        , 5686.371170847039 , 2413.3411347616816, 2488.996906196524 , 1141.3911457713516, 2795.7037482747833, 543.4106800170157 , 20.588663076622982, 12.095592127043561,   0.03430626 ,  0.046216186, 0.010203541, 0.019564189, 0.10129694353070176, 0.08145531263215972, 109.01358611406103, 72.71237270185692 , 50.0             , 393.49969809418644,   1.0, -0.5505435 , 0.05843854 , -0.45952854, -0.24250403, -0.21568452 , 0.22568963, -0.08960308 , 0.18959378 , -0.0045137927, 0.20113903, 0.06955725  ,    0.42046866,    0.41999108,    0.38577306,    0.3920312 ,    0.38028967,    0.46138826,    0.49572614,    0.46621358,    0.5330171 ,    0.57602656,     0.546266  ,     0.46635655,  1.1756622, 1.63352
confirm-transaction_reine  , reine  , confirm transaction, 3.027482993197279 , -188.19362 ,  111.876396, 32.017635  ,   25.88395 , 12.006773  , -1.378831  , -6.086902  , -10.980164 , 0.63437355 , 0.48627993 , -1.3558406  , 4.6869426   , -3.7148511  ,   76.31976,  44.69304 ,  25.822166,  16.119215, 11.839481 ,  10.649142,   9.511895,  13.236259,  8.381239 ,  9.468814 ,   7.170425 ,   6.80394  ,   9.010473 , 0.8420636        , 0.45554388       , -0.033419777     , -0.06194036      , -0.12996097      ,      0.19095196  , 0.11005335       ,       0.10956772 , 0.009285905      , -0.020561563     , 0.029141326       , 0.036570955       , -0.06281185       , -1.1613822        , -0.07169103       ,       0.027394215 , -0.06838873       , -0.051519863      , -0.04154375       , -0.03678059       , 0.07099484        , 0.005865766       , -0.017609023      , -0.051374666       , -0.113427125       , -0.043685883       , 4118.594942748092 , 2687.8145163354607, 1987.5568221609578, 1233.9344467250116, 2433.2526004406513, 641.044996678901  , 21.79719677446197 , 10.865535145578015,   0.023067802,  0.0514223  , 0.10905177 , 0.07402959 , 0.09019784708969465, 0.08508575561684262, 162.7432996809958 , 81.77963416169183 , 50.0             , 269.52238185263013,   1.0, -0.9046189 , -0.09321934, -0.24542919, 0.31821543 , -0.17257625 , 0.2895446 , -0.18453202 , 0.09555082 , -0.1577577   , 0.16091037, -0.07822393 ,    0.44164395,    0.42924488,    0.38364834,    0.3331968 ,    0.31670603,    0.34436   ,    0.2391614 ,    0.23180136,    0.3043224 ,    0.38498098,     0.46417785,     0.47643825,  1.685883 , 1.8442794
approve-transaction_reine  , reine  , approve transaction, 2.920816326530612 , -269.68347 ,  106.458435, 47.049934  ,   28.945057, 18.153996  , 10.0610285 , 1.6997225  , 3.1554635  , 4.2474     , 0.15963349 , -0.4062502  , 2.269645    , -1.1725836  ,   85.37861,  50.47308 ,  23.494188,  17.995235, 11.689519 ,  11.37295 ,  12.660295,   7.242747,  8.671659 , 11.851692 ,   9.166285 ,   8.6339445,   5.9871454, 1.4992874        , 0.10577998       , 0.12705848       , 0.31563395       , -0.048276376     ,      0.0083801225, -0.033597242     ,       0.010777025, -0.030365668     , -0.016546274     , -0.038515355      , 0.081973605       , -0.030731343      , -0.71156424       , -0.31010193       ,       0.06288368  , -0.029378634      , -0.013458171      , -0.0154354535     , -0.047318757      , 0.03059249        , -0.014770473      , -0.017200578      , 0.008418567        , -0.034585584       , -0.008161524       , 3835.986328125    , 2804.640041895504 , 2020.323789637287 , 1685.9595639811769, 2404.2563524510597, 564.1210962377255 , 20.817656171779614, 10.678266151962214,   0.013234603,  0.026309166, 0.058566343, 0.039599054, 0.09519159226190477, 0.15287534440701725,  95.74271056773259, 57.807733571591896, 50.0             , 218.12821110109778,   1.0, -0.07503776, -0.1740146 , -0.9107766 , -0.21526118, -0.021769164, 0.5704913 , -0.032984897, -0.06002858, -0.27954966  , 0.1216629 , 0.05614145  ,    0.41311166,    0.5859837 ,    0.70978093,    0.46272442,    0.25537843,    0.29789725,    0.40109846,    0.43912944,    0.40579948,    0.32739845,     0.2717136 ,     0.29257783,  1.6032987, 1.7386353
